INFO  - 2017-09-02 20:26:44.338; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-09-02 20:26:46.524; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/alice727/Solr/solr-4.10.4/example/contexts at interval 0
INFO  - 2017-09-02 20:26:46.828; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/alice727/Solr/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2017-09-02 20:26:47.577; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/alice727/Solr/solr-4.10.4/example/webapps/solr.war!/ to /home/alice727/Solr/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2017-09-02 20:27:19.872; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-09-02 20:27:20.935; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-09-02 20:27:21.093; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-09-02 20:27:21.103; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-09-02 20:27:21.206; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-09-02 20:27:22.235; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/alice727/Solr/solr-4.10.4/example/solr/solr.xml
INFO  - 2017-09-02 20:27:26.164; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/alice727/Solr/solr-4.10.4/example/solr
INFO  - 2017-09-02 20:27:26.252; org.apache.solr.core.CoreContainer; New CoreContainer 686989583
INFO  - 2017-09-02 20:27:26.252; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2017-09-02 20:27:26.424; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-09-02 20:27:26.424; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-09-02 20:27:26.622; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-09-02 20:27:26.683; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-09-02 20:27:26.684; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-09-02 20:27:26.684; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-09-02 20:27:26.684; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-09-02 20:27:26.684; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-09-02 20:27:26.685; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-09-02 20:27:26.685; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2017-09-02 20:27:47.187; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2017-09-02 20:27:47.189; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-09-02 20:27:47.193; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-09-02 20:27:47.195; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2017-09-02 20:27:47.636; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/alice727/Solr/solr-4.10.4/example/solr
INFO  - 2017-09-02 20:27:47.740; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/alice727/Solr/solr-4.10.4/example/solr/collection1/
INFO  - 2017-09-02 20:27:47.741; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2017-09-02 20:27:47.811; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/alice727/Solr/solr-4.10.4/example/solr/collection1/'
INFO  - 2017-09-02 20:27:50.039; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2017-09-02 20:27:50.300; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.302; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.302; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.302; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.304; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2017-09-02 20:27:50.367; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2017-09-02 20:27:50.368; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2017-09-02 20:27:50.369; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2017-09-02 20:27:50.369; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2017-09-02 20:27:50.369; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2017-09-02 20:27:50.369; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.370; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2017-09-02 20:27:50.370; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2017-09-02 20:27:50.370; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2017-09-02 20:27:50.371; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2017-09-02 20:27:50.371; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.372; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.375; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2017-09-02 20:27:50.375; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2017-09-02 20:27:50.375; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2017-09-02 20:27:50.375; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2017-09-02 20:27:50.376; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.376; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2017-09-02 20:27:50.376; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2017-09-02 20:27:50.376; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2017-09-02 20:27:50.377; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2017-09-02 20:27:50.377; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2017-09-02 20:27:50.377; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2017-09-02 20:27:50.377; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.378; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
